證券商代號,證券商名稱
1020,合庫
1021,合庫- 台中
1022,合庫-台南
1023,合庫-高雄
1024,合庫-嘉義
1025,合庫-基隆
1026,合庫-南興
1027,合庫-鹿港
1028,合庫 - 彰化
1029,合庫 - 鳳松
102A,合庫-竹塹
102C,合庫-自強
102D,合庫-港都
102E,合庫-東桃園
1030,土銀
1031,土銀-台中
1032,土銀-台南
1033,土銀-高雄
1034,土銀-嘉義
1035,土銀-新竹
1036,土銀-玉里
1037,土銀-花蓮
1038,土銀-和平
1039,土銀-士林
103A,土銀-建國
103B,土銀-彰化
103C,土銀-白河
103D,土銀-湖口
103F,土銀-南港
1040,臺銀證券
1041,臺銀-鳳山
1042,臺銀-臺南
1043,臺銀-民權
1045,臺銀-新竹
104A,臺銀-臺中
104C,臺銀-高雄
104D,臺銀-金山
104E,臺銀-信安
1090,台灣工銀
1091,台灣工銀-台中
1093,台灣工銀-埔里
1095,台灣工銀-桃園
1096,台灣工銀-龍潭
1097,台灣工銀-高雄
109A,台灣工銀-城中
109K,台灣工銀-忠孝
1110,台灣企銀
1111,台灣企銀-台中
1112,台灣企銀-台南
1113,台灣企銀-九如
1114,台灣企銀-嘉義
1115,台灣企銀-太平
1116,台灣企銀-屏東
1117,台灣企銀-竹北
1118,台灣企銀-豐原
1119,台灣企銀-岡山
111A,台灣企銀-民雄
111B,台灣企銀-建成
111C,台灣企銀-三民
111D,臺灣企銀-台北
111E,臺灣企銀-桃園
111F,台灣企銀-北高雄
111G,臺灣企銀-埔墘
111H,臺灣企銀-南京東路
1160,日盛
1161,日盛-忠孝
1162,日盛-台南
1163,日盛-台中
1164,日盛-內湖
1165,日盛-板橋
1166,日盛-雙和
1167,日盛-嘉義
1168,日盛-高雄
1169,日盛-士林
116A,日盛-木柵
116B,日盛-中壢
116b,日盛-園區
116C,日盛-八德
116c,日盛-豐原
116d,日盛-三峽
116e,日盛-竹北
116E,日盛-三重
116f,日盛-復興
116F,日盛-員林
116G,日盛-景美
116g,日盛-龍潭
116H,日盛-新竹
116I,日盛-南京
116i,日盛-樹林
116J,日盛-板橋中山
116j,日盛-頭份
116K,日盛-花蓮
116k,日盛-北高雄
116L,日盛-大墩
116m,日盛-和美
