"證券代號","證券名稱","暫停現股賣出後現款買進當沖註記","當日沖銷交易成交股數","當日沖銷交易買進成交金額","當日沖銷交易賣出成交金額",
="0050","元大台灣50","","451,000","35,892,900","35,997,600",
="0051","元大中型100","","1,000","31,740","31,990",
="0052","富邦科技","Y","0","0","0",
="0053","元大電子","","0","0","0",
="0054","元大台商50","","0","0","0",
="0055","元大MSCI金融","","0","0","0",
="0056","元大高股息","","27,000","679,090","681,880",
="0057","富邦摩台","","0","0","0",
="0058","富邦發達","","0","0","0",
="0059","富邦金融","","0","0","0",
="0061","元大寶滬深","","9,000","165,480","165,840",
="006203","元大MSCI台灣","","0","0","0",
="006204","永豐臺灣加權","","0","0","0",
="006205","富邦上証","","337,000","10,460,820","10,460,800",
="006206","元大上證50","","0","0","0",
="006207","FH滬深","","2,000","46,870","46,750",
="006208","富邦台50","","0","0","0",
="00631L","元大台灣50正2","","226,000","7,846,040","7,873,110",
="00632R","元大台灣50反1","","2,291,000","29,820,020","29,755,920",
="00633L","富邦上証正2","","3,337,000","137,876,700","138,043,000",
="00634R","富邦上証反1","","77,000","552,150","551,820",
="00635U","元大S&P黃金","","0","0","0",
="00636","國泰中國A50","","69,000","1,387,250","1,391,460",
="00637L","元大滬深300正2","","9,921,000","154,747,570","155,327,230",
="00638R","元大滬深300反1","","12,000","177,670","176,700",
="00639","富邦深100","","747,000","8,289,680","8,288,440",
="00640L","富邦日本正2","","7,000","171,600","171,390",
="00641R","富邦日本反1","","0","0","0",
="00642U","元大S&P石油","","22,000","456,900","457,480",
="00643","群益深証中小","","5,000","75,150","74,990",
="00645","富邦日本","","0","0","0",
="00646","元大S&P500","","0","0","0",
="00647L","元大S&P500正2","","0","0","0",
="00648R","元大S&P500反1","","12,000","165,130","164,980",
="00649","FH香港","","10,000","217,510","215,800",
="00650L","FH香港正2","","4,000","148,400","147,880",
="00651R","FH香港反1","","3,000","24,480","24,540",
="00652","富邦印度","","0","0","0",
="00653L","富邦印度正2","","0","0","0",
="00654R","富邦印度反1","","3,000","43,900","43,990",
="00655L","國泰中國A50正2","","430,000","13,028,440","13,114,100",
="00656R","國泰中國A50反1","","0","0","0",
="00657","國泰日經225","","0","0","0",
="00658L","國泰日本正2","","1,000","36,300","36,250",
="00659R","國泰日本反1","","0","0","0",
="00660","元大歐洲50","","0","0","0",
="00661","元大日經225","","0","0","0",
="00662","富邦NASDAQ","","0","0","0",
="00663L","國泰臺灣加權正2","","4,000","131,470","131,660",
="00664R","國泰臺灣加權反1","","322,000","4,745,750","4,716,250",
="00665L","富邦�琤肭磪囓�2","","18,000","613,240","617,050",
="00666R","富邦�琤肭磪齯�1","","1,000","12,710","12,710",
="00667","元大韓國","","0","0","0",
="00668","國泰美國道瓊","","0","0","0",
="00669R","國泰美國道瓊反1","","0","0","0",
="00670L","富邦NASDAQ正2","","1,000","29,170","29,280",
="00671R","富邦NASDAQ反1","","5,000","76,000","76,000",
="00672L","元大S&P原油正2","","2,000","50,470","50,340",
="00673R","元大S&P原油反1","","0","0","0",
="00674R","元大S&P黃金反1","","0","0","0",
="00675L","富邦臺灣加權正2","","112,000","1,573,140","1,593,610",
="00676R","富邦臺灣加權反1","","172,000","1,365,990","1,372,360",
="00677U","富邦VIX","","3,032,000","23,686,100","23,577,360",
="00678","群益NBI生技","","0","0","0",
="00680L","元大美債20正2","","0","0","0",
="00681R","元大美債20反1","","0","0","0",
="00682U","元大美元指數","","0","0","0",
="00683L","元大美元指數正2","","8,000","131,470","131,410",
="00684R","元大美元指數反1","","0","0","0",
="00685L","群益臺灣加權正2","","8,000","99,040","99,280",
="00686R","群益臺灣加權反1","","0","0","0",
="00688L","國泰20年美債正2","","101,000","1,891,760","1,891,760",
="00689R","國泰20年美債反1","","100,000","1,975,000","1,975,100",
="00690","兆豐藍籌30","","0","0","0",
="00691R","兆豐藍籌30反一","","0","0","0",
="00692","富邦公司治理","","163,000","3,408,400","3,418,610",
="00693U","華頓S&P黃豆","","2,000","41,220","41,260",
="00698L","元大美債7-10正2","","0","0","0",
="00699R","元大美債7-10反1","","0","0","0",
="00700","富邦恆生國企","","0","0","0",
="00701","國泰臺灣低波動30","","0","0","0",
="00702","國泰標普低波高息","","0","0","0",
="00703","台新MSCI中國","","4,000","86,650","87,320",
="00704L","台新MSCI台灣正2","","0","0","0",
="00705R","台新MSCI台灣反1","","0","0","0",
="00706L","元大S&P日圓正2","","0","0","0",
="00707R","元大S&P日圓反1","","0","0","0",
="00708L","元大S&P黃金正2","","2,000","38,910","39,010",
="00709","富邦歐洲","","102,000","2,108,740","2,108,720",
="00710B","FH彭博高收益債","","0","0","0",
="00711B","FH彭博新興債","","0","0","0",
="00712","FH富時不動產","","0","0","0",
="00713","元大台灣高息低波","","1,000","30,300","30,400",
="00714","群益道瓊美國地產","","100,000","1,830,000","1,830,000",
="00715L","華頓S&P布蘭特正2","","100,000","2,892,430","2,888,000",
="00716R","華頓S&P布蘭特反1","","40,000","636,000","636,400",
="00717","富邦美國特別股","","58,000","1,121,140","1,121,240",
="00728","第一金工業30","","6,000","114,130","114,200",
="00729R","第一金工業30反1","","0","0","0",
="00730","富邦臺灣優質高息","","4,000","77,600","77,690",
="00731","FH富時高息低波","","0","0","0",
="008201","BP上證50","","100","9,950","9,990",
"1101","台泥","","764,000","30,893,300","31,093,600",
"1102","亞泥","","1,333,000","42,796,500","42,483,850",
"1103","嘉泥","","90,000","1,083,400","1,079,400",
"1104","環泥","","1,000","21,950","22,100",
"1108","幸福","","1,000","7,600","7,660",
"1109","信大","","0","0","0",
"1110","東泥","","0","0","0",
"1201","味全","","120,000","2,819,950","2,827,350",
"1203","味王","","0","0","0",
"1210","大成","","1,318,000","50,421,100","50,478,550",
"1213","大飲","","0","0","0",
"1215","卜蜂","","19,000","1,205,800","1,217,200",
"1216","統一","","774,000","55,265,400","55,413,800",
"1217","愛之味","","19,000","142,130","142,330",
"1218","泰山","","15,000","257,050","256,000",
"1219","福壽","","0","0","0",
"1220","台榮","Y","0","0","0",
"1225","福懋油","","0","0","0",
"1227","佳格","","13,000","868,100","867,000",
"1229","聯華","","34,000","1,280,700","1,284,050",
"1231","聯華食","","0","0","0",
"1232","大統益","","0","0","0",
"1233","天仁","","3,000","113,050","113,550",
"1234","黑松","","0","0","0",
"1235","興泰","","0","0","0",
"1236","宏亞","","0","0","0",
"1256","鮮活果汁-KY","","61,000","10,448,500","10,540,500",
"1262","綠悅-KY","","77,000","2,905,000","2,920,600",
"1301","台塑","","688,000","71,904,000","72,216,500",
"1303","南亞","","387,000","31,336,000","31,507,300",
"1304","台聚","","9,000","130,000","130,200",
"1305","華夏","","351,000","11,209,150","11,195,500",
"1307","三芳","","1,000","32,000","32,400",
"1308","亞聚","","3,000","53,250","53,400",
"1309","台達化","","124,000","1,545,900","1,549,700",
"1310","台苯","","57,000","1,226,100","1,225,500",
"1312","國喬","","931,000","30,906,650","30,836,600",
"1313","聯成","","59,000","1,168,400","1,172,450",
"1314","中石化","","1,422,000","18,521,400","18,528,600",
"1315","達新","","0","0","0",
"1316","上曜","","31,000","687,550","687,250",
"1319","東陽","","189,000","10,196,100","10,148,900",
"1321","大洋","Y","44,000","1,218,550","1,218,450",
"1323","永裕","","5,000","170,600","170,150",
"1324","地球","","0","0","0",
"1325","恆大","Y","0","0","0",
"1326","台化","","518,000","56,300,500","56,592,500",
"1337","再生-KY","","143,000","1,604,200","1,617,700",
"1338","廣華-KY","","13,000","1,324,500","1,335,000",
"1339","昭輝","","0","0","0",
"1340","勝悅-KY","","4,000","181,500","181,100",
"1402","遠東新","Y","712,000","19,674,800","19,943,100",
"1409","新纖","","431,000","4,375,750","4,400,150",
"1410","南染","","8,000","188,500","188,750",
"1414","東和","","39,000","304,980","306,170",
"1416","廣豐","Y","2,000","34,100","34,200",
"1419","新紡","","3,000","143,050","143,100",
"1423","利華","","118,000","1,261,350","1,259,050",
"1432","大魯閣","","27,000","283,250","286,150",
"1434","福懋","","33,000","1,097,200","1,105,350",
"1436","華友聯","","0","0","0",
"1437","勤益控","","8,000","155,800","157,200",
"1439","中和","","1,143,000","55,171,900","55,586,200",
"1440","南紡","","6,000","78,650","78,900",
"1442","名軒","","0","0","0",
"1444","力麗","","1,537,000","17,527,600","17,635,200",
"1445","大宇","","28,000","234,200","233,510",
"1446","宏和","","0","0","0",
"1447","力鵬","","349,000","2,861,150","2,873,590",
"1451","年興","","0","0","0",
"1452","宏益","","5,000","103,150","103,350",
"1453","大將","","190,000","2,093,950","2,103,200",
"1454","台富","","0","0","0",
"1455","集盛","","2,192,000","22,827,350","22,844,200",
"1456","怡華","","2,000","18,150","18,840",
"1457","宜進","","1,392,000","19,705,300","19,724,650",
"1459","聯發","","16,000","138,400","139,600",
"1460","宏遠","","22,000","265,850","267,750",
"1463","強盛","","16,000","357,500","356,800",
"1464","得力","","32,000","805,900","810,550",
"1465","偉全","","1,000","14,400","14,550",
"1466","聚隆","Y","1,000","10,900","11,000",
"1467","南緯","","12,000","131,200","131,800",
"1470","大統染","Y","0","0","0",
"1473","台南","","0","0","0",
"1474","弘裕","","8,000","94,500","94,300",
"1476","儒鴻","","168,000","60,419,000","60,306,000",
"1477","聚陽","","72,000","10,179,000","10,233,000",
"1503","士電","","2,000","82,200","82,200",
"1504","東元","","217,000","5,249,500","5,262,550",
"1506","正道","Y","110,000","2,587,350","2,562,950",
"1507","永大","","11,000","562,000","567,200",
"1513","中興電","Y","176,000","3,796,100","3,797,950",
"1514","亞力","","2,168,000","36,716,500","36,718,900",
"1515","力山","","106,000","4,632,150","4,676,050",
"1516","川飛","","5,000","82,750","83,800",
"1517","利奇","","6,000","62,250","62,400",
"1519","華城","","3,847,000","107,319,850","107,326,950",
"1521","大億","","1,000","81,500","81,300",
"1522","堤維西","","19,000","558,000","558,350",
"1524","耿鼎","","0","0","0",
"1525","江申","","20,000","1,697,000","1,702,300",
"1526","日馳","","5,000","297,800","297,000",
"1527","鑽全","","26,000","1,377,200","1,377,000",
"1528","恩德","","1,026,000","16,866,750","16,849,950",
"1530","亞崴","","1,000","32,400","32,500",
"1531","高林股","","18,000","374,950","376,900",
"1532","勤美","","32,000","985,350","982,000",
"1533","車王電","","0","0","0",
"1535","中宇","","0","0","0",
"1536","和大","","731,000","96,757,500","96,926,500",
"1537","廣隆","","5,000","714,500","717,500",
"1539","巨庭","Y","0","0","0",
"1540","喬福","","0","0","0",
"1541","錩泰","Y","2,000","68,650","68,650",
"1558","伸興","","3,000","388,000","387,500",
"1560","中砂","","131,000","10,029,700","10,163,000",
"1568","倉佑","","17,000","463,750","468,550",
"1582","信錦","Y","3,000","195,200","195,000",
"1583","程泰","","0","0","0",
"1589","永冠-KY","","1,293,000","106,020,600","106,110,900",
"1590","亞德客-KY","","121,000","63,504,000","63,218,000",
"1592","英瑞-KY","","11,000","342,600","347,950",
"1598","岱宇","","0","0","0",
"1603","華電","Y","2,000","51,200","52,650",
"1604","聲寶","","47,000","626,050","626,850",
"1605","華新","","5,704,000","113,866,250","114,430,750",
"1608","華榮","","657,000","8,081,500","8,119,100",
"1609","大亞","","14,560,000","227,202,500","228,098,650",
"1611","中電","","185,000","2,268,700","2,281,650",
"1612","宏泰","","16,000","184,150","183,750",
"1614","三洋電","","0","0","0",
"1615","大山","","831,000","18,773,600","18,773,000",
"1617","榮星","","0","0","0",
"1618","合機","Y","16,000","151,390","150,860",
"1626","艾美特-KY","","0","0","0",
"1701","中化","","15,000","302,350","304,200",
"1702","南僑","","7,000","422,600","422,800",
"1704","榮化","","16,000","703,350","704,300",
"1707","葡萄王","","122,000","30,584,000","30,599,000",
"1708","東鹼","","3,000","88,650","89,250",
"1709","和益","","1,000","18,700","18,700",
"1710","東聯","","347,000","11,037,550","11,054,700",
"1711","永光","","27,000","485,650","485,850",
"1712","興農","","2,000","33,950","33,900",
"1713","國化","","2,000","35,000","35,300",
"1714","和桐","","46,000","376,300","377,800",
"1717","長興","","2,000","55,200","56,800",
"1718","中纖","","146,000","1,422,840","1,430,080",
"1720","生達","","520,000","19,356,050","19,339,550",
"1721","三晃","","1,000","12,100","12,100",
"1722","台肥","Y","12,000","478,150","479,450",
"1723","中碳","","7,000","1,095,500","1,094,000",
"1724","台硝","","0","0","0",
"1725","元禎","","0","0","0",
"1726","永記","","1,000","80,200","81,000",
"1727","中華化","","0","0","0",
"1730","花仙子","","1,000","47,250","47,550",
"1731","美吾華","","0","0","0",
"1733","五鼎","","13,000","391,950","394,150",
"1734","杏輝","","29,000","671,200","671,650",
"1735","日勝化","","237,000","3,971,400","3,963,100",
"1736","喬山","","16,000","485,800","490,850",
"1737","臺鹽","","23,000","661,600","663,200",
"1762","中化生","","11,000","272,150","272,900",
"1773","勝一","","0","0","0",
"1776","展宇","","0","0","0",
"1783","和康生","","3,340,000","118,482,400","118,400,650",
"1786","科妍","","1,229,000","90,030,100","90,180,200",
"1789","神隆","","20,000","645,750","648,200",
"1802","台玻","","366,000","7,146,150","7,209,350",
"1806","冠軍","","0","0","0",
"1808","潤隆","","56,000","3,130,600","3,141,100",
"1809","中釉","","26,000","312,450","315,700",
"1810","和成","","1,000","9,710","9,670",
"1817","凱撒衛","","0","0","0",
"1902","台紙","","2,000","36,200","36,100",
"1903","士紙","","1,000","32,900","33,200",
"1904","正隆","","259,000","4,345,750","4,329,900",
"1905","華紙","","56,000","611,000","608,750",
"1906","寶隆","","20,000","503,250","510,000",
"1907","永豐餘","","58,000","732,150","736,300",
"1909","榮成","","206,000","7,169,500","7,211,200",
"2002","中鋼","","947,000","22,189,200","22,218,400",
"2006","東和鋼鐵","","89,000","2,172,700","2,188,400",
"2008","高興昌","","2,000","24,500","25,100",
"2009","第一銅","","40,000","454,650","457,050",
"2010","春源","","9,000","101,650","102,300",
"2012","春雨","","8,000","160,150","160,400",
"2013","中鋼構","","5,377,000","169,992,000","169,501,250",
"2014","中鴻","","118,000","1,277,300","1,279,300",
"2015","豐興","","14,000","832,400","829,300",
"2017","官田鋼","","5,000","53,450","53,650",
"2020","美亞","","20,000","313,100","313,350",
"2023","燁輝","","87,000","892,000","896,050",
"2024","志聯","","0","0","0",
"2027","大成鋼","","9,234,000","313,123,900","314,221,600",
"2029","盛餘","","0","0","0",
"2030","彰源","","60,000","971,100","973,250",
"2031","新光鋼","","8,940,000","403,938,250","404,930,600",
"2032","新鋼","","15,000","160,500","161,400",
"2033","佳大","","160,000","2,020,050","2,040,350",
"2034","允強","","11,000","290,800","292,000",
"2038","海光","","1,017,000","13,923,500","13,997,150",
"2049","上銀","","1,419,000","627,733,500","631,242,000",
"2059","川湖","","34,000","14,187,000","14,234,500",
"2062","橋椿","","0","0","0",
"2069","運錩","","1,000","24,050","24,150",
"2101","南港","","7,000","174,200","174,400",
"2102","泰豐","","10,000","128,550","129,200",
"2103","台橡","","11,000","329,150","328,850",
"2104","中橡","","37,000","1,569,150","1,570,050",
"2105","正新","","628,000","29,653,900","29,791,100",
"2106","建大","","11,000","374,100","374,400",
"2107","厚生","","5,000","75,000","74,950",
"2108","南帝","","22,000","551,100","549,900",
"2114","鑫永銓","","0","0","0",
"2115","六暉-KY","","0","0","0",
"2201","裕隆","","96,000","2,129,800","2,157,400",
"2204","中華","","39,000","1,081,900","1,081,850",
"2206","三陽工業","","20,000","421,050","424,000",
"2207","和泰車","","24,000","7,014,000","7,008,500",
"2227","裕日車","","0","0","0",
"2228","劍麟","","5,000","445,200","447,600",
"2231","為升","","345,000","132,366,000","132,380,500",
"2236","百達-KY","","2,000","104,400","105,300",
"2239","英利-KY","","1,000","150,500","150,500",
"2301","光寶科","","1,829,000","70,774,500","71,260,250",
"2303","聯電","","7,772,000","123,808,200","124,297,150",
"2305","全友","","111,000","975,770","976,860",
"2308","台達電","","1,551,000","167,296,000","167,487,500",
"2312","金寶","","312,000","3,265,550","3,268,400",
"2313","華通","","1,436,000","42,700,150","42,714,700",
"2314","台揚","","31,000","793,400","797,400",
"2316","楠梓電","","30,000","475,050","474,350",
"2317","鴻海","","4,190,000","345,231,200","345,873,000",
"2324","仁寶","","612,000","11,901,800","11,899,800",
"2327","國巨","","5,313,000","3,348,747,000","3,353,383,000",
"2328","廣宇","","107,000","2,073,100","2,071,850",
"2330","台積電","","4,102,000","926,961,000","929,916,000",
"2331","精英","","69,000","1,168,600","1,167,900",
"2332","友訊","","83,000","912,450","913,900",
"2337","旺宏","","22,139,000","1,009,570,100","1,013,179,850",
"2338","光罩","","40,000","670,250","677,850",
"2340","光磊","","192,000","4,227,600","4,237,850",
"2342","茂矽","","85,000","2,734,350","2,753,500",
"2344","華邦電","","9,694,000","176,061,350","176,007,250",
"2345","智邦","","6,034,000","415,749,100","416,061,500",
"2347","聯強","","177,000","7,520,350","7,534,600",
"2348","海悅","","20,000","776,350","789,150",
"2351","順德","","56,000","3,968,700","3,967,300",
"2352","佳世達","","2,695,000","54,188,900","54,321,500",
"2353","宏��","","4,110,000","93,735,750","94,092,450",
"2354","鴻準","","199,000","14,723,600","14,740,000",
"2355","敬鵬","Y","0","0","0",
"2356","英業達","","218,000","4,885,550","4,902,150",
"2357","華碩","","160,000","44,053,000","44,296,500",
"2358","廷鑫","Y","4,000","78,000","78,250",
"2359","所羅門","","20,000","407,950","410,000",
"2360","致茂","","589,000","88,832,500","88,853,500",
"2362","藍天","","18,000","522,050","525,650",
"2363","矽統","","243,000","2,039,350","2,053,410",
"2365","昆盈","","1,000","9,990","10,050",
"2367","燿華","","6,105,000","124,587,050","124,556,150",
"2368","金像電","","200,000","1,886,230","1,886,100",
"2369","菱生","","1,000","12,500","12,600",
"2371","大同","","3,512,000","77,182,950","77,324,750",
"2373","震旦行","","29,000","2,544,700","2,564,700",
"2374","佳能","","10,000","173,600","173,750",
"2375","智寶","","493,000","22,859,750","22,879,000",
"2376","技嘉","","886,000","56,631,200","57,008,200",
"2377","微星","","726,000","67,672,800","67,857,900",
"2379","瑞昱","","923,000","101,762,500","102,500,500",
"2380","虹光","","13,000","87,390","88,820",
"2382","廣達","","239,000","12,938,500","12,928,500",
"2383","台光電","","1,077,000","78,574,700","78,551,900",
"2385","群光","","54,000","3,940,700","3,941,300",
"2387","精元","","49,000","754,200","759,000",
"2388","威盛","","4,000","135,800","135,800",
"2390","云辰","","470,000","4,947,850","4,961,800",
"2392","正崴","","109,000","4,173,750","4,199,850",
"2393","億光","","20,000","829,650","831,850",
"2395","研華","","49,000","9,906,500","10,056,500",
"2397","友通","","0","0","0",
"2399","映泰","","6,258,000","126,040,950","125,712,200",
"2401","凌陽","","85,000","1,220,100","1,226,200",
"2402","毅嘉","","21,000","331,950","333,300",
"2404","漢唐","","27,000","1,715,900","1,732,300",
"2405","浩鑫","","7,000,000","112,458,850","112,617,100",
"2406","國碩","","411,000","5,116,100","5,134,100",
"2408","南亞科","","2,577,000","237,992,100","238,739,900",
"2409","友達","","5,988,000","74,366,000","74,512,050",
"2412","中華電","","649,000","73,132,500","73,298,000",
"2413","環科","","36,000","761,950","760,700",
"2414","精技","","0","0","0",
"2415","錩新","","4,000","75,800","76,650",
"2417","圓剛","","6,000","72,000","72,800",
"2419","仲琦","","39,000","823,800","827,250",
"2420","新巨","","0","0","0",
"2421","建準","","419,000","15,389,500","15,402,700",
"2423","固緯","","2,000","45,200","46,100",
"2424","隴華","","0","0","0",
"2425","承啟","","402,000","10,701,700","10,753,300",
"2426","鼎元","","57,000","891,150","891,900",
"2427","三商電","","12,000","132,250","133,000",
"2428","興勤","","71,000","5,988,600","5,980,100",
"2430","燦坤","","7,000","171,950","171,950",
"2431","聯昌","","11,000","143,250","145,550",
"2433","互盛電","","0","0","0",
"2436","偉詮電","","32,000","836,300","840,150",
"2439","美律","","4,429,000","582,997,000","585,811,000",
"2441","超豐","","16,000","856,300","861,000",
"2442","新美齊","","14,000","109,820","110,040",
"2444","友旺","","334,000","9,378,100","9,462,000",
"2448","晶電","","10,211,000","400,213,200","404,511,150",
"2449","京元電子","","363,000","10,576,800","10,599,550",
"2450","神腦","","4,000","208,000","208,500",
"2451","創見","","25,000","2,082,000","2,088,200",
"2453","凌群","","8,000","111,100","111,800",
"2454","聯發科","","2,883,000","963,925,500","970,831,000",
"2455","全新","","4,011,000","378,592,600","379,554,000",
"2456","奇力新","","3,753,000","355,026,000","353,950,500",
"2457","飛宏","","1,235,000","13,425,950","13,452,500",
"2458","義隆","","184,000","7,917,900","7,934,750",
"2459","敦吉","","2,000","85,100","84,600",
"2460","建通","","8,000","109,200","110,250",
"2461","光群雷","","0","0","0",
"2462","良得電","","5,000","123,350","123,900",
"2464","盟立","","100,000","4,217,350","4,241,300",
"2466","冠西電","","31,000","1,111,000","1,111,250",
"2467","志聖","","57,000","1,502,450","1,515,200",
"2468","華經","","2,000","24,900","25,300",
"2471","資通","","2,000","30,400","30,200",
"2472","立隆電","","697,000","40,634,900","40,663,900",
"2474","可成","","1,156,000","380,286,000","381,035,500",
"2476","鉅祥","","30,000","757,950","755,650",
"2477","美隆電","","27,000","701,050","691,200",
"2478","大毅","","6,121,000","324,827,700","325,709,300",
"2480","敦陽科","","51,000","2,066,250","2,083,350",
"2481","強茂","","5,128,000","252,975,500","254,489,550",
"2482","連宇","","4,000","49,450","50,000",
"2483","百容","","0","0","0",
"2484","希華","","4,000","74,200","74,400",
"2485","兆赫","","30,000","759,200","759,000",
"2486","一詮","","3,000","27,450","27,890",
"2488","漢平","","3,000","75,300","75,600",
"2489","瑞軒","","105,000","1,317,450","1,332,550",
"2492","華新科","","19,266,000","3,629,027,500","3,630,047,500",
"2493","揚博","","0","0","0",
"2495","普安","","3,000","37,950","38,100",
"2496","卓越","","7,000","1,042,000","1,061,500",
"2497","怡利電","","0","0","0",
"2498","宏達電","","4,828,000","282,237,100","284,910,800",
"2499","東貝","","130,000","1,116,200","1,119,120",
"2501","國建","","55,000","949,400","948,550",
"2504","國產","","37,000","357,060","357,630",
"2505","國揚","","3,000","44,250","44,250",
"2506","太設","","0","0","0",
"2509","全坤建","","8,000","233,650","234,550",
"2511","太子","","21,000","246,500","246,600",
"2514","龍邦","","28,000","392,350","393,150",
"2515","中工","","172,000","1,291,950","1,295,770",
"2520","冠德","","72,000","1,384,150","1,376,700",
"2524","京城","","0","0","0",
"2527","宏璟","","6,000","175,100","174,900",
"2530","華建","","0","0","0",
"2534","宏盛","","546,000","19,043,050","19,052,000",
"2535","達欣工","","88,000","2,102,250","2,095,400",
"2536","宏普","","0","0","0",
"2537","聯上發","","11,000","85,580","85,560",
"2538","基泰","","2,001,000","21,611,800","21,719,800",
"2539","櫻花建","","0","0","0",
"2540","愛山林","","8,000","242,000","244,000",
"2542","興富發","","110,000","5,020,200","5,020,050",
"2543","皇昌","","1,000","7,930","8,340",
"2545","皇翔","","1,000","28,000","28,150",
"2546","根基","","0","0","0",
"2548","華固","","28,000","1,904,900","1,922,700",
"2597","潤弘","","2,000","78,000","77,500",
"2601","益航","Y","10,160,000","127,164,800","127,723,150",
"2603","長榮","","4,702,000","70,165,350","70,765,100",
"2605","新興","","161,000","2,828,150","2,833,650",
"2606","裕民","","259,000","9,273,950","9,333,900",
"2607","榮運","","64,000","857,100","860,550",
"2608","大榮","","0","0","0",
"2609","陽明","","1,555,000","16,017,050","16,054,100",
"2610","華航","","3,043,000","32,411,100","32,616,200",
"2611","志信","","6,000","42,660","43,240",
"2612","中航","","23,000","668,800","669,400",
"2613","中櫃","","5,000","65,250","65,250",
"2614","東森","","317,000","4,299,350","4,319,300",
"2615","萬海","","137,000","2,363,850","2,359,700",
"2616","山隆","","1,000","33,400","33,300",
"2617","台航","","810,000","13,659,350","13,753,000",
"2618","長榮航","","4,433,000","70,085,100","70,320,350",
"2633","台灣高鐵","","167,000","3,800,000","3,804,950",
