"證券代號","證券名稱","暫停現股賣出後現款買進當沖註記","當日沖銷交易成交股數","當日沖銷交易買進成交金額","當日沖銷交易賣出成交金額"
"00679B","元大美債20年","","331,000","12,039,270","12,043,150"
"00687B","國泰20年美債","＊","100,000","3,766,000","3,766,000"
"00694B","富邦美債1-3","＊","150,000","5,864,100","5,864,100"
"00695B","富邦美債7-10","＊","150,000","5,634,000","5,634,000"
"00696B","富邦美債20年","＊","150,000","5,712,800","5,712,800"
"00697B","元大美債7-10","","150,000","5,580,750","5,580,750"
"00718B","富邦中國政策債","","200,000","4,138,000","4,138,000"
"00719B","元大美債1-3","","202,000","6,152,880","6,153,060"
"00720B","元大投資級公司債","","201,000","7,544,500","7,544,500"
"00721B","元大中國債3-5","","209,000","9,861,980","9,862,160"
"00722B","群益15年IG電信債","","290,000","11,218,000","11,219,350"
"00723B","群益15年IG科技債","","220,000","8,130,000","8,130,400"
"00724B","群益10年IG金融債","","260,000","9,469,300","9,469,600"
"00725B","國泰投資級公司債","","0","0","0"
"00726B","國泰5Y+新興債","","19,000","743,600","745,320"
"00727B","國泰1-5Y高收債","","31,000","1,269,080","1,270,200"
"1258","其祥-KY","","0","0","0"
"1259","安心","","0","0","0"
"1264","德麥","","1,000","220,000","221,000"
"1268","漢來美食","","3,000","418,500","418,500"
"1336","台翰","","41,000","675,450","688,250"
"1565","精華","","18,000","14,355,000","14,372,000"
"1566","捷邦","","0","0","0"
"1569","濱川","","19,000","530,450","529,450"
"1570","力肯","","1,370,000","19,352,550","19,387,700"
"1580","新麥","","1,000","155,000","155,500"
"1584","精剛","","4,000","44,450","44,200"
"1586","和勤","","14,000","557,800","557,400"
"1591","駿吉-KY","","12,000","421,550","422,000"
"1593","祺驊","","1,000","48,000","48,400"
"1595","川寶","","0","0","0"
"1597","直得","","2,440,000","394,952,000","395,480,500"
"1599","宏佳騰","","0","0","0"
"1742","台蠟","","1,400,000","30,447,700","30,176,100"
"1752","南光","","22,000","870,450","872,200"
"1777","生泰","","5,000","398,200","395,400"
"1784","訊聯","","7,000","185,650","185,400"
"1785","光洋科","","1,186,000","25,956,000","26,019,450"
"1787","福盈科","","0","0","0"
"1788","杏昌","","7,000","745,500","748,000"
"1795","美時","","3,976,000","357,183,200","357,560,000"
"1813","寶利徠","","3,000","58,850","58,400"
"1815","富喬","","1,825,000","30,941,000","30,972,400"
"2035","唐榮","","2,000","89,350","89,900"
"2063","世鎧","","1,000","36,750","37,500"
"2064","晉椿","","7,000","125,400","127,900"
"2065","世豐","","0","0","0"
"2066","世德","","16,000","1,243,900","1,248,400"
"2221","大甲","","6,000","173,900","174,000"
"2230","泰茂","","0","0","0"
"2233","宇隆","","44,000","4,873,500","4,890,500"
"2235","謚源","","3,000","175,800","179,400"
"2596","綠意","","0","0","0"
"2640","大車隊","","9,000","637,800","638,000"
"2641","正德","","2,867,000","21,429,700","21,302,700"
"2726","雅茗-KY","","0","0","0"
"2729","瓦城","","2,000","468,000","467,500"
"2732","六角","","975,000","106,072,500","105,377,500"
"2734","易飛網","","1,000","17,100","17,400"
"2736","高野","","4,000","56,050","57,450"
"2916","滿心","","0","0","0"
"2924","東凌-KY","","0","0","0"
"2926","誠品生活","","0","0","0"
"2928","紅馬-KY","","15,000","865,600","862,500"
"3068","美磊","","234,000","15,739,400","15,751,400"
"3071","協禧","","59,000","1,091,200","1,096,450"
"3078","僑威","","51,000","1,519,050","1,514,750"
"3081","聯亞","","840,000","230,143,500","231,503,000"
"3083","網龍","","17,000","662,000","666,400"
"3088","艾訊","","11,000","627,600","627,200"
"3092","鴻碩","","8,000","395,100","394,750"
"3093","港建","","0","0","0"
"3114","好德","","21,000","424,900","427,350"
"3118","進階","","0","0","0"
"3122","笙泉","","57,000","1,067,050","1,061,100"
"3128","昇銳","","129,000","2,060,900","2,061,250"
"3131","弘塑","","2,000","308,000","309,500"
"3141","晶宏","","6,000","176,350","175,750"
"3144","新揚科","","3,000","70,200","70,600"
"3152","璟德","","3,000","754,000","754,500"
"3163","波若威","","10,000","302,000","303,200"
"3169","亞信","","1,000","25,800","25,650"
"3171","新洲","","36,000","531,250","531,200"
"3202","樺晟","","40,000","712,300","714,150"
"3205","佰研","","149,000","9,717,700","9,778,700"
"3206","志豐","","26,000","577,550","576,850"
"3211","順達","","3,000","117,950","118,400"
"3213","茂訊","","1,000","50,300","50,300"
"3217","優群","","43,000","1,948,450","1,950,050"
"3218","大學光","","33,000","1,014,450","1,021,000"
"3221","台嘉碩","","13,000","255,600","255,650"
"3224","三顧","","106,000","6,141,000","6,142,100"
"3226","至寶電","","0","0","0"
"3227","原相","","168,000","19,128,500","19,179,000"
"3232","昱捷","","1,000","25,450","25,750"
"3234","光環","","27,000","657,000","658,350"
"3236","千如","","116,000","6,072,900","6,103,800"
"3252","海灣","","0","0","0"
"3260","威剛","","290,000","21,001,400","21,052,400"
"3264","欣銓","","122,000","4,071,150","4,055,850"
"3265","台星科","","104,000","3,984,600","3,995,400"
"3272","東碩","","62,000","2,513,450","2,493,850"
"3276","宇環","","0","0","0"
"3284","太普高","","7,000","110,900","111,900"
"3285","微端","","20,000","359,150","364,050"
"3289","宜特","","49,000","3,614,200","3,632,300"
"3290","東浦","","0","0","0"
"3293","鈊象","","41,000","6,605,500","6,574,500"
"3294","英濟","","5,000","91,000","90,750"
"3297","杭特","","0","0","0"
"3299","帛漢","","3,000","206,000","206,400"
"3303","岱稜","","10,000","193,300","192,700"
"3306","鼎天","","1,000","19,150","19,200"
"3310","佳穎","","1,000","40,000","40,300"
"3313","斐成","","316,000","13,903,600","13,965,000"
"3317","尼克森","","118,000","4,314,550","4,328,500"
"3323","加百裕","","16,000","619,750","621,250"
"3324","雙鴻","","167,000","10,614,200","10,697,800"
"3325","旭品","","4,000","50,100","51,200"
"3332","幸康","","0","0","0"
"3354","律勝","","68,000","1,441,550","1,447,550"
"3360","尚立","","3,000","42,150","42,450"
"3362","先進光","","576,000","27,460,600","27,453,650"
"3363","上詮","","3,000","78,550","78,950"
"3373","熱映","","3,000","53,200","54,000"
"3374","精材","","2,395,000","142,081,800","142,620,400"
"3379","彬台","","34,000","419,550","418,400"
"3388","崇越電","","1,000","78,500","79,000"
"3390","旭軟","","0","0","0"
"3402","漢科","","144,000","4,183,450","4,175,350"
"3428","光燿科","","24,000","1,084,250","1,088,300"
"3434","哲固","","25,000","368,500","370,000"
"3438","類比科","","1,000","21,400","21,500"
"3441","聯一光","","62,000","1,989,550","1,992,100"
"3444","利機","","3,000","70,200","70,800"
"3455","由田","","5,000","201,550","201,550"
"3466","致振","","0","0","0"
"3479","安勤","","1,000","45,100","45,200"
"3483","力致","","0","0","0"
"3484","崧騰","","3,000","111,400","111,000"
"3489","森寶","","0","0","0"
"3490","單井","","6,000","144,150","142,900"
"3491","昇達科","","15,000","918,600","918,200"
"3492","長盛","","2,000","51,000","52,000"
"3498","陽程","","8,000","340,200","343,100"
"3499","環天科","","31,000","427,600","425,750"
"3508","位速","","414,000","18,720,450","18,747,300"
"3511","矽瑪","","56,000","860,150","865,800"
"3512","能緹","","9,000","351,600","351,650"
"3516","亞帝歐","","2,000","28,900","29,500"
"3522","宏森","","19,000","671,550","670,350"
"3526","凡甲","","16,000","969,700","974,600"
"3527","聚積","","50,000","4,219,500","4,212,200"
"3529","力旺","","15,000","5,484,500","5,494,500"
"3531","先益","","0","0","0"
"3537","堡達","","657,000","20,391,850","20,358,450"
"3540","曜越","","39,000","1,200,450","1,196,000"
"3541","西柏","","6,000","433,900","431,800"
"3546","宇峻","","69,000","6,182,900","6,152,100"
"3548","兆利","","10,000","473,450","471,150"
"3551","世禾","","4,000","140,800","140,000"
"3552","同致","","86,000","9,342,500","9,322,500"
"3555","重鳥鵬","","0","0","0"
"3556","禾瑞亞","","0","0","0"
"3558","神準","","3,000","387,000","388,000"
"3563","牧德","","421,000","159,803,000","159,771,000"
"3564","其陽","","1,000","19,900","20,000"
"3567","逸昌","","1,000","29,400","29,750"
"3577","泓格","","27,000","970,450","974,050"
"3580","友威科","","3,000","148,300","149,250"
"3581","博磊","","3,000","61,150","61,050"
"3587","閎康","","10,000","712,900","716,600"
"3594","磐儀","","19,000","479,450","482,450"
"3609","東林","","2,000","26,900","27,100"
"3611","鼎翰","","42,000","9,949,000","9,958,000"
"3615","安可","","9,000","175,650","175,750"
"3623","富晶通","","3,000","113,150","113,800"
"3624","光頡","","663,000","20,048,300","20,032,200"
"3625","西勝","","14,000","357,950","359,600"
"3630","新鉅科","","55,000","1,833,450","1,844,400"
"3631","晟楠","","1,000","26,300","25,700"
"3632","研勤","","1,000","16,100","16,250"
"3642","駿熠電","","2,000","33,900","34,400"
"3646","艾恩特","","307,000","7,422,000","7,422,200"
"3652","精聯","","27,000","657,450","655,550"
"3663","鑫科","","18,000","363,750","361,350"
"3664","安瑞-KY","","3,000","46,700","47,150"
"3666","光耀","","0","0","0"
"3672","康聯訊","","0","0","0"
"3675","德微","","7,000","297,700","299,950"
"3680","家登","","11,000","407,150","406,600"
"3685","元創精密","","1,000","62,500","63,000"
"3687","歐買尬","","2,000","68,250","68,450"
"3689","湧德","","2,000","72,500","72,650"
"3691","碩禾","","111,000","16,863,000","16,957,000"
"3693","營邦","","1,000","30,100","30,450"
"3707","漢磊","","772,000","17,110,650","17,199,900"
"3709","鑫聯大投控","","3,000","69,850","69,000"
"3710","連展投控","","10,000","68,590","69,600"
"4102","永日","","0","0","0"
"4103","百略","","29,000","2,429,000","2,436,200"
"4105","東洋","","57,000","5,734,000","5,729,500"
"4107","邦特","","728,000","85,521,500","85,536,000"
"4109","穆拉德加捷","","26,000","332,450","330,250"
"4111","濟生","","2,000,000","63,413,850","63,583,250"
"4113","聯上","","39,000","420,600","419,250"
"4114","健喬","","7,311,000","236,314,750","238,806,200"
"4116","明基醫","","5,000","168,150","169,100"
"4120","友華","","6,000","427,900","428,000"
"4121","優盛","","261,000","3,815,600","3,816,600"
"4123","晟德","","1,113,000","78,205,200","78,230,500"
"4126","太醫","","0","0","0"
"4127","天良","","0","0","0"
"4128","中天","","2,048,000","44,289,400","44,635,050"
"4129","聯合","","28,000","1,832,500","1,832,200"
"4130","健亞","","319,000","11,735,550","11,779,800"
"4138","曜亞","","61,000","3,714,200","3,690,300"
"4147","中裕","","2,187,000","699,686,000","701,318,500"
"4153","鈺緯","","18,000","605,000","607,150"
"4157","太景*-KY","","1,573,000","39,060,000","39,295,200"
"4161","聿新科","","10,000","382,050","385,850"
"4162","智擎","","80,000","11,215,500","11,205,500"
"4163","鐿鈦","","0","0","0"
"4167","展旺","","62,000","1,656,150","1,661,600"
"4173","久裕","","1,000","17,750","17,800"
"4175","杏一","","0","0","0"
"4180","安成藥","","96,000","9,428,400","9,350,000"
"4205","中華食","","0","0","0"
"4207","環泰","","6,000","84,650","84,900"
"4303","信立","","14,000","2,305,000","2,301,000"
"4305","世坤","","0","0","0"
"4401","東隆興","","3,000","190,800","191,200"
"4406","新昕纖","","0","0","0"
"4416","三圓","","0","0","0"
"4417","金洲","","2,000","68,000","68,600"
"4420","光明","","0","0","0"
"4429","聚紡","","0","0","0"
"4430","耀億","","4,000","106,100","105,150"
"4432","銘旺實","","1,000","29,900","30,650"
"4433","興采","","4,000","74,000","74,050"
"4502","健信","","1,000","73,500","72,800"
"4506","崇友","","1,000","60,200","60,500"
"4510","高鋒","","1,000","17,650","17,750"
"4513","福裕","","0","0","0"
"4523","永彰","","0","0","0"
"4527","方土霖","","0","0","0"
"4528","江興鍛","","142,000","9,721,900","9,690,900"
"4529","淳紳","","19,000","547,600","552,000"
"4533","協易機","","2,000","22,700","22,800"
"4534","慶騰","","24,000","344,950","347,800"
"4535","至興","","0","0","0"
"4541","晟田","","135,000","4,507,500","4,495,250"
"4543","萬在","","0","0","0"
"4549","桓達","","76,000","7,685,600","7,705,000"
"4550","長佳","","0","0","0"
"4556","旭然","","0","0","0"
"4706","大恭","","0","0","0"
"4707","磐亞","","86,000","1,043,800","1,041,150"
"4711","永純","","0","0","0"
"4714","永捷","","3,000","45,100","45,400"
"4716","大立","","3,000","60,600","61,500"
"4721","美琪瑪","","718,000","68,748,300","68,939,600"
"4728","雙美","","139,000","5,252,200","5,261,350"
"4735","豪展","","11,000","471,300","477,650"
"4736","泰博","","323,000","46,155,500","46,114,000"
"4745","合富-KY","","200,000","10,562,000","10,503,600"
"4747","強生","","1,000","41,300","41,600"
"4803","VHQ-KY","","1,039,000","246,360,500","245,437,000"
"4804","大略-KY","","34,000","826,100","822,350"
"4806","昇華","","134,000","5,692,850","5,523,300"
"4903","聯光通","","1,491,000","33,700,800","33,693,450"
"4905","台聯電","","0","0","0"
"4907","富宇","","47,000","1,245,500","1,250,600"
"4908","前鼎","","5,000","94,550","95,200"
"4909","新復興","","1,000","16,900","17,000"
"4933","友輝","","0","0","0"
"4939","亞電","","61,000","1,134,050","1,135,450"
"4947","昂寶-KY","","166,000","40,094,500","40,226,500"
"4953","緯軟","","1,000","34,900","35,450"
"4966","譜瑞-KY","","161,000","74,090,000","74,636,500"
"4971","IET-KY","","101,000","8,052,700","8,056,700"
"4972","湯石照明","","169,000","6,794,000","6,777,850"
