"證券代號","證券名稱","外陸資買進股數(不含外資自營商)","外陸資賣出股數(不含外資自營商)","外陸資買賣超股數(不含外資自營商)","外資自營商買進股數","外資自營商賣出股數","外資自營商買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數(自行買賣)","自營商賣出股數(自行買賣)","自營商買賣超股數(自行買賣)","自營商買進股數(避險)","自營商賣出股數(避險)","自營商買賣超股數(避險)","三大法人買賣超股數",
="00637L","元大滬深300正2","14,860,000","400,000","14,460,000","0","0","0","0","0","0","12,213,000","350,000","100,000","250,000","17,783,000","5,820,000","11,963,000","26,673,000",
"2888","新光金","33,508,288","14,286,786","19,221,502","0","0","0","0","0","0","1,940,000","261,000","62,000","199,000","1,945,000","204,000","1,741,000","21,161,502",
"2303","聯電","37,385,000","18,183,000","19,202,000","0","0","0","0","0","0","1,266,000","103,000","30,000","73,000","1,882,000","689,000","1,193,000","20,468,000",
"2883","開發金","20,006,000","3,342,000","16,664,000","0","0","0","0","0","0","2,862,000","1,301,000","4,000","1,297,000","1,758,000","193,000","1,565,000","19,526,000",
"2884","玉山金","21,217,329","4,413,000","16,804,329","0","0","0","0","0","0","280,000","19,000","48,000","-29,000","313,000","4,000","309,000","17,084,329",
"2448","晶電","10,919,000","2,785,741","8,133,259","0","0","0","0","0","0","3,690,000","480,000","217,000","263,000","3,937,000","510,000","3,427,000","11,823,259",
"1402","遠東新","11,152,000","1,446,480","9,705,520","0","0","0","500,000","0","500,000","-237,000","48,000","562,000","-514,000","277,000","0","277,000","9,968,520",
="00633L","富邦上証正2","4,178,000","41,000","4,137,000","0","0","0","0","0","0","5,009,000","0","61,000","-61,000","8,955,000","3,885,000","5,070,000","9,146,000",
="073431","鴻海群益78購01","0","0","0","0","0","0","0","0","0","8,337,000","0","0","0","8,433,000","96,000","8,337,000","8,337,000",
"2603","長榮","8,303,000","2,027,000","6,276,000","0","0","0","0","0","0","2,035,000","504,000","97,000","407,000","1,965,000","337,000","1,628,000","8,311,000",
"2337","旺宏","17,840,000","13,367,000","4,473,000","0","0","0","0","0","0","3,744,000","4,000","83,000","-79,000","5,921,000","2,098,000","3,823,000","8,217,000",
"2618","長榮航","9,230,000","2,469,000","6,761,000","0","0","0","0","0","0","1,332,000","2,000","88,000","-86,000","1,681,000","263,000","1,418,000","8,093,000",
"2856","元富證","8,291,000","629,000","7,662,000","0","0","0","0","0","0","0","0","0","0","0","0","0","7,662,000",
"1101","台泥","7,446,000","2,498,000","4,948,000","0","0","0","1,546,000","0","1,546,000","574,000","549,000","93,000","456,000","127,000","9,000","118,000","7,068,000",
