代號,名稱,外資及陸資(不含外資自營商)-買進股數,外資及陸資(不含外資自營商)-賣出股數,外資及陸資(不含外資自營商)-買賣超股數,外資自營商-買進股數,外資自營商-賣出股數,外資自營商-買賣超股數,外資及陸資-買進股數,外資及陸資-賣出股數,外資及陸資-買賣超股數,投信-買進股數,投信-賣出股數,投信-買賣超股數,自營商(自行買賣)-買進股數,自營商(自行買賣)-賣出股數,自營商(自行買賣)-買賣超股數,自營商(避險)-買進股數,自營商(避險)-賣出股數,自營商(避險)-買賣超股數,自營商-買進股數,自營商-賣出股數,自營商-買賣超股數,三大法人買賣超股數合計
"00679B","元大美債20年","3,000","0","3,000","0","0","0","3,000","0","3,000","0","0","0","0","0","0","450,000","457,000","-7,000","450,000","457,000","-7,000","-4,000"
"00687B","國泰20年美債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","401,000","400,000","1,000","401,000","400,000","1,000","1,000"
"00694B","富邦美債1-3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","302,000","303,000","-1,000","302,000","303,000","-1,000","-1,000"
"00695B","富邦美債7-10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","302,000","300,000","2,000","302,000","300,000","2,000","2,000"
"00696B","富邦美債20年","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","301,000","300,000","1,000","301,000","300,000","1,000","1,000"
"00697B","元大美債7-10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","470,000","475,000","-5,000","470,000","475,000","-5,000","-5,000"
"00718B","富邦中國政策債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","301,000","301,000","0","301,000","301,000","0","0"
"00719B","元大美債1-3","0","1,000","-1,000","0","0","0","0","1,000","-1,000","0","0","0","0","0","0","402,000","403,000","-1,000","402,000","403,000","-1,000","-2,000"
"00720B","元大投資級公司債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","401,000","408,000","-7,000","401,000","408,000","-7,000","-7,000"
"00721B","元大中國債3-5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","401,000","402,000","-1,000","401,000","402,000","-1,000","-1,000"
"00722B","群益15年IG電信債","1,000","15,000","-14,000","0","0","0","1,000","15,000","-14,000","0","0","0","0","0","0","300,000","300,000","0","300,000","300,000","0","-14,000"
"00723B","群益15年IG科技債","0","389,000","-389,000","0","0","0","0","389,000","-389,000","0","0","0","0","0","0","710,000","320,000","390,000","710,000","320,000","390,000","1,000"
"00724B","群益10年IG金融債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","301,000","301,000","0","301,000","301,000","0","0"
"00725B","國泰投資級公司債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","55,000","60,000","-5,000","55,000","60,000","-5,000","-5,000"
"00726B","國泰5Y+新興債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11,000","8,000","3,000","11,000","8,000","3,000","3,000"
"00727B","國泰1-5Y高收債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","56,000","53,000","3,000","56,000","53,000","3,000","3,000"
"1268","漢來美食","1,000","0","1,000","0","0","0","1,000","0","1,000","0","0","0","0","4,000","-4,000","0","0","0","0","4,000","-4,000","-3,000"
"1336","台翰","6,000","10,000","-4,000","0","0","0","6,000","10,000","-4,000","0","0","0","0","0","0","0","0","0","0","0","0","-4,000"
"1565","精華","61,000","66,000","-5,000","0","0","0","61,000","66,000","-5,000","13,000","29,000","-16,000","0","0","0","14,000","1,000","13,000","14,000","1,000","13,000","-8,000"
"1566","捷邦","1,000","0","1,000","0","0","0","1,000","0","1,000","0","0","0","4,000","0","4,000","0","0","0","4,000","0","4,000","5,000"
"1569","濱川","1,000","1,000","0","0","0","0","1,000","1,000","0","0","0","0","0","0","0","0","15,000","-15,000","0","15,000","-15,000","-15,000"
"1580","新麥","0","16,000","-16,000","0","0","0","0","16,000","-16,000","0","0","0","0","0","0","0","0","0","0","0","0","-16,000"
"1586","和勤","2,000","33,000","-31,000","0","0","0","2,000","33,000","-31,000","0","0","0","0","0","0","71,000","1,000","70,000","71,000","1,000","70,000","39,000"
"1591","駿吉-KY","1,000","1,000","0","0","0","0","1,000","1,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1593","祺驊","5,000","0","5,000","0","0","0","5,000","0","5,000","0","0","0","0","0","0","0","0","0","0","0","0","5,000"
"1595","川寶","0","2,000","-2,000","0","0","0","0","2,000","-2,000","0","0","0","0","0","0","0","0","0","0","0","0","-2,000"
"1597","直得","92,000","158,000","-66,000","0","0","0","92,000","158,000","-66,000","30,000","0","30,000","34,000","31,000","3,000","64,000","31,000","33,000","98,000","62,000","36,000","0"
"1742","台蠟","2,000","0","2,000","0","0","0","2,000","0","2,000","0","0","0","0","4,000","-4,000","0","0","0","0","4,000","-4,000","-2,000"
"1752","南光","27,000","23,000","4,000","0","0","0","27,000","23,000","4,000","0","0","0","0","11,000","-11,000","32,000","0","32,000","32,000","11,000","21,000","25,000"
