"107年05月04日 三大法人買賣超日報"
"證券代號","證券名稱","外陸資買進股數(不含外資自營商)","外陸資賣出股數(不含外資自營商)","外陸資買賣超股數(不含外資自營商)","外資自營商買進股數","外資自營商賣出股數","外資自營商買賣超股數","投信買進股數","投信賣出股數","投信買賣超股數","自營商買賣超股數","自營商買進股數(自行買賣)","自營商賣出股數(自行買賣)","自營商買賣超股數(自行買賣)","自營商買進股數(避險)","自營商賣出股數(避險)","自營商買賣超股數(避險)","三大法人買賣超股數",
"2884","玉山金          ","20,948,690","8,382,392","12,566,298","0","0","0","6,000","0","6,000","499,000","508,000","10,000","498,000","10,000","9,000","1,000","13,071,298",
="076278","上銀群益79購07  ","0","0","0","0","0","0","0","0","0","8,441,000","0","0","0","8,497,000","56,000","8,441,000","8,441,000",
"3711","日月光投控      ","13,090,840","5,368,387","7,722,453","0","0","0","3,000","342,000","-339,000","-212,000","15,000","366,000","-351,000","254,000","115,000","139,000","7,171,453",
"3481","群創            ","21,117,000","16,976,708","4,140,292","0","0","0","0","0","0","2,833,000","2,000","1,000","1,000","3,090,000","258,000","2,832,000","6,973,292",
"1605","華新            ","9,635,471","6,167,000","3,468,471","0","0","0","2,000","0","2,000","2,380,000","660,000","1,010,000","-350,000","2,771,000","41,000","2,730,000","5,850,471",
"3702","大聯大          ","7,037,000","2,346,220","4,690,780","0","0","0","101,000","0","101,000","873,000","800,000","114,000","686,000","304,000","117,000","187,000","5,664,780",
="00632R","元大台灣50反1   ","1,273,000","300,000","973,000","0","0","0","250,000","0","250,000","4,373,000","1,694,000","2,800,000","-1,106,000","9,483,000","4,004,000","5,479,000","5,596,000",
="068413","上銀群益76購03  ","0","0","0","0","0","0","0","0","0","5,523,000","0","0","0","5,527,000","4,000","5,523,000","5,523,000",
="069573","上銀群益75購07  ","0","0","0","0","0","0","0","0","0","4,824,000","0","0","0","4,852,000","28,000","4,824,000","4,824,000",
="078319","智邦統一7C購01  ","0","0","0","0","0","0","0","0","0","3,357,000","0","0","0","3,542,000","185,000","3,357,000","3,357,000",
"1102","亞泥            ","5,085,065","1,732,000","3,353,065","0","0","0","2,000","0","2,000","-35,000","170,000","274,000","-104,000","69,000","0","69,000","3,320,065",
"2408","南亞科          ","5,613,000","2,235,000","3,378,000","0","0","0","4,000","47,000","-43,000","-48,000","120,000","192,000","-72,000","50,000","26,000","24,000","3,287,000",
="075212","華通麥證79購01  ","0","0","0","3,635,000","109,000","3,526,000","0","0","0","3,027,000","0","0","0","3,635,000","608,000","3,027,000","3,027,000",
"6153","嘉聯益          ","5,395,566","3,945,940","1,449,626","0","0","0","1,074,000","220,000","854,000","639,000","1,650,000","916,000","734,000","932,000","1,027,000","-95,000","2,942,626",
="072529","微星麥證77購01  ","0","0","0","5,317,000","951,000","4,366,000","0","0","0","2,888,000","0","0","0","5,900,000","3,012,000","2,888,000","2,888,000",
="075074","智伸科麥證79購01","0","0","0","3,599,000","381,000","3,218,000","0","0","0","2,850,000","0","0","0","3,599,000","749,000","2,850,000","2,850,000",
"6116","彩晶            ","9,266,304","6,997,000","2,269,304","0","0","0","0","0","0","506,000","53,000","22,000","31,000","516,000","41,000","475,000","2,775,304",
="077064","GIS麥證7A購01   ","0","0","0","2,843,000","0","2,843,000","0","0","0","2,663,000","0","0","0","2,843,000","180,000","2,663,000","2,663,000",
="075723","和大麥證7A購01  ","0","0","0","2,645,000","0","2,645,000","0","0","0","2,645,000","0","0","0","2,645,000","0","2,645,000","2,645,000",
="077668","GIS麥證7B購01   ","0","0","0","2,607,000","50,000","2,557,000","0","0","0","2,557,000","0","0","0","2,607,000","50,000","2,557,000","2,557,000",
"2458","義隆            ","2,850,000","1,178,000","1,672,000","0","0","0","0","0","0","835,000","45,000","14,000","31,000","839,000","35,000","804,000","2,507,000",
="072353","聯發科麥證77購01","0","0","0","5,496,000","1,887,000","3,609,000","0","0","0","2,496,000","0","0","0","5,779,000","3,283,000","2,496,000","2,496,000",
="074245","上銀群益79購03  ","0","0","0","0","0","0","0","0","0","2,389,000","0","0","0","2,390,000","1,000","2,389,000","2,389,000",
="076950","燿華凱基7A購01  ","0","0","0","0","0","0","0","0","0","2,386,000","0","0","0","2,980,000","594,000","2,386,000","2,386,000",
="074948","新光金麥證7A購01","0","0","0","3,001,000","634,000","2,367,000","0","0","0","2,367,000","0","0","0","3,001,000","634,000","2,367,000","2,367,000",
="072939","宏盛麥證77購01  ","0","0","0","3,664,000","863,000","2,801,000","0","0","0","2,360,000","0","0","0","3,875,000","1,515,000","2,360,000","2,360,000",
="077686","華通日盛7A購01  ","0","0","0","0","0","0","0","0","0","2,348,000","0","0","0","2,587,000","239,000","2,348,000","2,348,000",
="073667","智伸科麥證78購01","0","0","0","3,922,000","1,345,000","2,577,000","0","0","0","2,302,000","0","0","0","3,922,000","1,620,000","2,302,000","2,302,000",
"2481","強茂            ","1,382,000","995,000","387,000","0","0","0","559,000","50,000","509,000","1,356,000","134,000","204,000","-70,000","1,689,000","263,000","1,426,000","2,252,000",
="075736","GIS麥證79購01   ","0","0","0","2,519,000","301,000","2,218,000","0","0","0","2,218,000","0","0","0","2,519,000","301,000","2,218,000","2,218,000",
"2903","遠百            ","2,357,000","283,000","2,074,000","0","0","0","0","0","0","79,000","80,000","1,000","79,000","0","0","0","2,153,000",
="077198","華通麥證7B購01  ","0","0","0","3,199,000","314,000","2,885,000","0","0","0","2,125,000","0","0","0","3,199,000","1,074,000","2,125,000","2,125,000",
="07435P","訊芯元大7A售04  ","0","0","0","0","0","0","0","0","0","2,088,000","0","0","0","2,317,000","229,000","2,088,000","2,088,000",
="073947","新光金麥證79購01","0","0","0","3,752,000","803,000","2,949,000","0","0","0","2,084,000","0","0","0","3,752,000","1,668,000","2,084,000","2,084,000",
"2376","技嘉            ","4,939,291","3,388,000","1,551,291","0","0","0","522,000","15,000","507,000","-5,000","89,000","91,000","-2,000","528,000","531,000","-3,000","2,053,291",
"1101","台泥            ","3,309,885","2,170,916","1,138,969","0","0","0","765,000","0","765,000","120,000","704,000","605,000","99,000","56,000","35,000","21,000","2,023,969",
="077769","智伸科麥證7A購01","0","0","0","1,994,000","0","1,994,000","0","0","0","1,994,000","0","0","0","1,994,000","0","1,994,000","1,994,000",
"2883","開發金          ","11,090,298","8,837,104","2,253,194","0","0","0","859,000","0","859,000","-1,120,000","50,000","23,000","27,000","171,000","1,318,000","-1,147,000","1,992,194",
="06070P","為升元大76售01  ","0","0","0","0","0","0","0","0","0","1,987,000","0","0","0","2,002,000","15,000","1,987,000","1,987,000",
="076184","智伸科麥證79購02","0","0","0","1,993,000","40,000","1,953,000","0","0","0","1,953,000","0","0","0","1,993,000","40,000","1,953,000","1,953,000",
="077308","新唐麥證7B購01  ","0","0","0","1,950,000","0","1,950,000","0","0","0","1,950,000","0","0","0","1,950,000","0","1,950,000","1,950,000",
="074107","台積電元大78購13","0","0","0","0","0","0","0","0","0","1,918,000","0","0","0","2,381,000","463,000","1,918,000","1,918,000",
="073110","華新科麥證78購01","0","0","0","2,329,000","341,000","1,988,000","0","0","0","1,913,000","0","0","0","2,338,000","425,000","1,913,000","1,913,000",
="072998","台積電群益78購02","0","0","0","0","0","0","0","0","0","1,847,000","0","0","0","1,922,000","75,000","1,847,000","1,847,000",
="073489","開發金元富78購01","0","0","0","0","0","0","0","0","0","1,838,000","0","0","0","2,315,000","477,000","1,838,000","1,838,000",
"2456","奇力新          ","3,334,000","1,850,000","1,484,000","0","0","0","183,000","116,000","67,000","221,000","111,000","75,000","36,000","323,000","138,000","185,000","1,772,000",
="076766","麗豐元富7A購01  ","0","0","0","0","0","0","0","0","0","1,737,000","0","0","0","3,676,000","1,939,000","1,737,000","1,737,000",
="078084","GIS麥證7A購02   ","0","0","0","1,708,000","10,000","1,698,000","0","0","0","1,698,000","0","0","0","1,708,000","10,000","1,698,000","1,698,000",
="06396P","訊芯元大77售02  ","0","0","0","0","0","0","0","0","0","1,694,000","0","0","0","2,124,000","430,000","1,694,000","1,694,000",
="078186","新唐麥證7A購02  ","0","0","0","1,666,000","8,000","1,658,000","0","0","0","1,658,000","0","0","0","1,666,000","8,000","1,658,000","1,658,000",
="072846","葡萄王麥證77購01","0","0","0","2,116,000","29,000","2,087,000","0","0","0","1,656,000","0","0","0","2,125,000","469,000","1,656,000","1,656,000",
="077401","GIS元富7A購01   ","0","0","0","0","0","0","0","0","0","1,643,000","0","0","0","1,929,000","286,000","1,643,000","1,643,000",
="075214","宏盛麥證7A購01  ","0","0","0","1,650,000","20,000","1,630,000","0","0","0","1,630,000","0","0","0","1,650,000","20,000","1,630,000","1,630,000",
="075373","華通玉山7B購01  ","0","0","0","0","0","0","0","0","0","1,627,000","0","0","0","1,818,000","191,000","1,627,000","1,627,000",
="073188","葡萄王麥證78購01","0","0","0","2,291,000","43,000","2,248,000","0","0","0","1,627,000","0","0","0","2,299,000","672,000","1,627,000","1,627,000",
="076346","綠悅元大7A購01  ","0","0","0","0","0","0","0","0","0","1,605,000","0","0","0","1,815,000","210,000","1,605,000","1,605,000",
"8163","達方            ","1,281,000","363,000","918,000","0","0","0","0","0","0","687,000","406,000","17,000","389,000","422,000","124,000","298,000","1,605,000",
"1326","台化            ","3,105,920","2,032,948","1,072,972","0","0","0","467,000","0","467,000","54,000","105,000","56,000","49,000","24,000","19,000","5,000","1,593,972",
="077665","新光金麥證7B購01","0","0","0","2,163,000","573,000","1,590,000","0","0","0","1,590,000","0","0","0","2,163,000","573,000","1,590,000","1,590,000",
="074488","台積電凱基78購04","0","0","0","0","0","0","0","0","0","1,585,000","0","0","0","3,699,000","2,114,000","1,585,000","1,585,000",
="073952","華通國泰78購05  ","0","0","0","0","0","0","0","0","0","1,580,000","0","0","0","1,622,000","42,000","1,580,000","1,580,000",
="074226","華通日盛78購02  ","0","0","0","0","0","0","0","0","0","1,577,000","0","0","0","1,687,000","110,000","1,577,000","1,577,000",
="06748P","GIS國泰79售02   ","0","0","0","0","0","0","0","0","0","1,558,000","0","0","0","1,703,000","145,000","1,558,000","1,558,000",
="077107","華通兆豐7A購02  ","0","0","0","0","0","0","0","0","0","1,552,000","0","0","0","1,688,000","136,000","1,552,000","1,552,000",
="073613","宏盛麥證79購01  ","0","0","0","4,673,000","2,800,000","1,873,000","0","0","0","1,531,000","0","0","0","4,821,000","3,290,000","1,531,000","1,531,000",
"3026","禾伸堂          ","1,100,000","357,000","743,000","0","0","0","451,000","0","451,000","333,000","87,000","194,000","-107,000","503,000","63,000","440,000","1,527,000",
="075432","和大麥證79購01  ","0","0","0","3,232,000","1,245,000","1,987,000","0","0","0","1,521,000","0","0","0","3,232,000","1,711,000","1,521,000","1,521,000",
="074661","華通富邦7B購01  ","0","0","0","0","0","0","0","0","0","1,512,000","0","0","0","1,517,000","5,000","1,512,000","1,512,000",
="071602","嘉聯益元大78購01","0","0","0","0","0","0","0","0","0","1,497,000","0","0","0","2,178,000","681,000","1,497,000","1,497,000",
