107年05月04日 三大法人日交易資訊(含普通股、鉅額、零股、綜合帳戶之投信買賣成交量)依股票代碼排序
代號,名稱,外資及陸資(不含外資自營商)-買進股數,外資及陸資(不含外資自營商)-賣出股數,外資及陸資(不含外資自營商)-買賣超股數,外資自營商-買進股數,外資自營商-賣出股數,外資自營商-買賣超股數,外資及陸資-買進股數,外資及陸資-賣出股數,外資及陸資-買賣超股數,投信-買進股數,投信-賣出股數,投信-買賣超股數,自營商(自行買賣)-買進股數,自營商(自行買賣)-賣出股數,自營商(自行買賣)-買賣超股數,自營商(避險)-買進股數,自營商(避險)-賣出股數,自營商(避險)-買賣超股數,自營商-買進股數,自營商-賣出股數,自營商-買賣超股數,三大法人買賣超股數合計
"00679B","元大美債20年","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","450,000","501,000","-51,000","450,000","501,000","-51,000","-51,000"
"00687B","國泰20年美債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","401,000","400,000","1,000","401,000","400,000","1,000","1,000"
"00694B","富邦美債1-3","0","2,000","-2,000","0","0","0","0","2,000","-2,000","0","0","0","0","0","0","300,000","301,000","-1,000","300,000","301,000","-1,000","-3,000"
"00695B","富邦美債7-10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","300,000","300,000","0","300,000","300,000","0","0"
"00696B","富邦美債20年","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","300,000","300,000","0","300,000","300,000","0","0"
"00697B","元大美債7-10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","451,000","450,000","1,000","451,000","450,000","1,000","1,000"
"00718B","富邦中國政策債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","201,000","203,000","-2,000","201,000","203,000","-2,000","-2,000"
"00719B","元大美債1-3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","402,000","403,000","-1,000","402,000","403,000","-1,000","-1,000"
"00720B","元大投資級公司債","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","402,000","451,000","-49,000","402,000","451,000","-49,000","-49,000"
"00721B","元大中國債3-5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","401,000","405,000","-4,000","401,000","405,000","-4,000","-4,000"
