"股票代號","股票名稱","資買進","資賣出","資現償","資前餘額","資今餘","資限額","券買進","券賣出","券現償","券前餘","券今餘","券限額","資券互抵","註記",
="0050","元大台灣50","72","55","0","2,681","2,698","150,250","1","37","0","417","453","150,250","1","",
="0051","元大中型100","0","0","0","0","0","2,250","0","0","0","0","0","2,250","0","X",
="0052","富邦科技","0","0","0","0","0","1,500","0","0","0","0","0","1,500","0","X",
="0053","元大電子","0","0","0","3","3","1,622","0","0","0","0","0","1,622","0","",
="0054","元大台商50","0","0","0","2","2","2,906","0","0","0","0","0","2,906","0","",
="0055","元大MSCI金融","0","0","0","29","29","8,663","0","0","0","2","2","8,663","0","",
="0056","元大高股息","10","5","2","158","161","98,758","0","0","0","1","1","98,758","0","",
="0057","富邦摩台","0","0","0","0","0","1,256","0","0","0","0","0","1,256","0","X",
="0058","富邦發達","0","0","0","0","0","1,049","0","0","0","0","0","1,049","0","X",
="0059","富邦金融","0","0","0","0","0","1,243","0","0","0","0","0","1,243","0","X",
="0061","元大寶滬深","18","12","0","2,626","2,632","99,404","0","250","0","181","431","99,404","0","",
="006203","元大MSCI台灣","0","0","0","0","0","1,929","0","0","0","0","0","1,929","0","X",
="006204","永豐臺灣加權","0","0","0","0","0","750","0","0","0","0","0","750","0","X",
="006205","富邦上証","11","4","0","1,807","1,814","124,436","0","1","0","28","29","124,436","0","",
="006206","元大上證50","3","1","0","927","929","53,944","0","0","0","2","2","53,944","0","",
="006207","FH滬深","0","1","0","406","405","53,598","0","0","0","2","2","53,598","0","",
="006208","富邦台50","0","0","0","25","25","5,885","0","0","0","0","0","5,885","0","",
="00631L","元大台灣50正2","152","209","0","6,543","6,486","8,021","36","54","0","2,481","2,499","8,021","0","@",
="00632R","元大台灣50反1","1,913","1,899","703","229,298","228,609","1,075,162","16","18","0","4,893","4,895","1,075,162","72","",
="00633L","富邦上証正2","5,352","801","0","140,356","144,907","183,614","113","88","330","7,853","7,498","183,614","600","@",
="00634R","富邦上証反1","242","43","0","3,451","3,650","14,564","0","0","0","492","492","14,564","0","",
="00635U","元大S&P黃金","20","1","0","716","735","10,003","0","0","0","14","14","10,003","0","",
="00636","國泰中國A50","317","175","0","5,856","5,998","151,306","0","0","0","327","327","151,306","0","",
="00637L","元大滬深300正2","22,098","2,992","347","492,380","511,139","634,526","783","591","3,881","32,100","28,027","634,526","1,066","@",
="00638R","元大滬深300反1","19","4","0","206","221","2,112","40","0","0","98","58","2,112","0","",
="00639","富邦深100","80","25","0","5,531","5,586","76,225","50","0","0","88","38","76,225","0","",
="00640L","富邦日本正2","1","69","0","1,684","1,616","4,104","6","5","0","310","309","4,104","0","",
="00641R","富邦日本反1","30","44","0","4,469","4,455","8,064","0","0","0","10","10","8,064","0","",
="00642U","元大S&P石油","10","31","0","1,458","1,437","19,580","10","0","0","332","322","19,580","0","",
="00643","群益深証中小","5","13","0","6,045","6,037","70,097","0","1","0","124","125","70,097","0","",
="00645","富邦日本","0","0","0","0","0","6,374","0","0","0","0","0","6,374","0","X",
