代號,名稱,前資餘額(張),資買,資賣,現償,資餘額,資屬證金,資使用率(%),資限額,前券餘額(張),券賣,券買,券償,券餘額,券屬證金,券使用率(%),券限額,資券相抵(張),備註
"00679B","元大美債20年","9","0","0","0","9","0","0.0","204,798","0","0","0","0","0","0","0.0","204,798","0",""
"00687B","國泰20年美債","0","0","0","0","0","0","0.0","66,946","0","0","0","0","0","0","0.0","66,946","0","X"
"00694B","富邦美債1-3","0","0","0","0","0","0","0.0","21,894","0","0","0","0","0","0","0.0","21,894","0","X"
"00695B","富邦美債7-10","0","0","0","0","0","0","0.0","17,796","0","0","0","0","0","0","0.0","17,796","0","X"
"00696B","富邦美債20年","0","0","0","0","0","0","0.0","33,920","0","0","0","0","0","0","0.0","33,920","0","X"
"00697B","元大美債7-10","0","0","0","0","0","0","0.0","3,678","0","0","0","0","0","0","0.0","3,678","0","X"
"00718B","富邦中國政策債","0","0","0","0","0","0","0.0","124,125","0","0","0","0","0","0","0.0","124,125","0","X"
"00719B","元大美債1-3","0","0","0","0","0","0","0.0","1,003","0","0","0","0","0","0","0.0","1,003","0","X"
"00720B","元大投資級公司債","0","0","0","0","0","0","0.0","23,777","0","0","0","0","0","0","0.0","23,777","0","X"
"00721B","元大中國債3-5","0","0","0","0","0","0","0.0","32,155","0","0","0","0","0","0","0.0","32,155","0","X"
"00722B","群益15年IG電信債","0","0","0","0","0","0","0.0","19,934","0","0","0","0","0","0","0.0","19,934","0","X"
"00723B","群益15年IG科技債","0","0","0","0","0","0","0.0","67,270","0","0","0","0","0","0","0.0","67,270","0","X"
"00724B","群益10年IG金融債","0","0","0","0","0","0","0.0","72,443","0","0","0","0","0","0","0.0","72,443","0","X"
"00725B","國泰投資級公司債","1","0","0","0","1","0","0.0","20,801","0","0","0","0","0","0","0.0","20,801","0",""
"00726B","國泰5Y+新興債","0","0","0","0","0","0","0.0","15,372","0","0","0","0","0","0","0.0","15,372","0","X"
"00727B","國泰1-5Y高收債","0","0","0","0","0","0","0.0","15,672","0","0","0","0","0","0","0.0","15,672","0","X"
"1258","其祥-KY","536","1","0","0","537","1","5.83","9,204","0","0","0","0","0","0","0.0","9,204","0","11C"
"1259","安心","76","0","0","0","76","7","0.93","8,097","0","0","0","0","0","0","0.0","8,097","0","11C"
"1264","德麥","157","0","0","0","157","0","1.86","8,423","0","0","0","0","0","0","0.0","8,423","0","11C"
"1268","漢來美食","22","3","0","0","25","0","0.26","9,497","0","0","0","0","0","0","0.0","9,497","0",""
"1333","恩得利","0","0","0","0","0","0","0.0","0","0","0","0","0","0","0","0.0","0","0","OX"
"1336","台翰","9,969","6","96","0","9,879","181","47.49","20,798","29","5","5","0","29","0","0.13","20,798","0",""
"1565","精華","717","15","16","0","716","159","5.68","12,604","42","4","0","0","46","1","0.36","12,604","0",""
"1566","捷邦","3,225","10","19","0","3,216","14","19.35","16,616","8","0","0","0","8","0","0.04","16,616","0",""
"1569","濱川","6,713","132","110","0","6,735","301","23.9","28,178","24","4","0","0","28","0","0.09","28,178","0",""
"1570","力肯","3,467","35","13","0","3,489","183","27.09","12,875","0","0","0","0","0","0","0.0","12,875","5",""
